,Importance
num_lab_procedures,0.16752347433434203
num_medications,0.16004430180113305
number_diagnoses,0.11536915566605577
time_in_hospital,0.10220857961927704
age,0.09441907687829568
num_procedures,0.0838303560342958
insulin,0.05033343545868468
number_outpatient,0.037075890354879425
race,0.036767898426995335
A1Cresult,0.028789920789876286
number_inpatient,0.02732905347285234
gender,0.027211227516775845
number_emergency,0.02599464899375175
diabetesMed,0.02280983903469615
change,0.020293141618088935
